instId,instType,baseCcy,quoteCcy,settleCcy,minSz,lotSz,tickSz,last,vol24h,minOrderValueUSD
SIGN-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.06846,157339,0.07
SLP-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.001775,78225571,0.00
SNX-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.6478,7451091,0.65
SOLV-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.044529,247458,0.04
SONIC-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.1964,5261608,0.20
SOON-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.27203,11676523,0.27
SOPH-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.03323,1601421,0.03
SPK-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.07617,5984902,0.08
SPX-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.3444,5179648,1.34
SSV-USDT-SWAP,SWAP,,,USDT,1,1,0.001,8.464,11768036,8.46
STORJ-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2585,595200,0.26
STRK-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1336,64555404,0.13
STX-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.0001,0.6617,948276.8,0.07
SUI-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,3.4818,61484631,3.48
SUSHI-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.7662,22134254,0.77
SWARMS-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01947,12286251,0.02
SYRUP-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.4069,1158663,0.41
T-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01599,637532,0.02
TAO-USDT-SWAP,SWAP,,,USDT,1,1,0.1,346,4313781,346.00
THETA-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.0001,0.78,401404,0.08
TIA-USDT-SWAP,SWAP,,,USDT,1,1,0.001,1.684,19376600,1.68
TNSR-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1216,9076567,0.12
TRB-USDT-SWAP,SWAP,,,USDT,1,1,0.01,35.41,3791672,35.41
TREE-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3242,28926185,0.32
TRUMP-USDT-SWAP,SWAP,,,USDT,1,1,0.001,8.797,136469342,8.80
TRX-USDT-SWAP,SWAP,,,USDT,0.01,0.01,0.00001,0.35154,241212.99,0.00
TURBO-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.000001,0.004096,247040.7,0.00
UMA-USDT-SWAP,SWAP,,,USDT,1,1,0.001,1.387,595836464,1.39
UNI-USDT-SWAP,SWAP,,,USDT,1,1,0.001,10.235,9938729,10.23
USDC-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.9999,51066,1.00
USELESS-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2738,27891010,0.27
USTC-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01344,1939347,0.01
UXLINK-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3086,763703,0.31
VANA-USDT-SWAP,SWAP,,,USDT,1,1,0.001,4.046,2280099,4.05
VINE-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.0672,223267465,0.07
VIRTUAL-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,1.1898,11397236,1.19
W-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.07839,80231345,0.08
WAL-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.4269,185487,0.43
WAXP-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.02037,182409,0.02
WCT-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.3042,1567520,0.30
WIF-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.8373,97047466,0.84
WLD-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.9282,110100273,0.93
WOO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.07358,3078174,0.07
XAUT-USDT-SWAP,SWAP,,,USDT,1,1,0.1,3342,2908440,3342.00
XLM-USDT-SWAP,SWAP,,,USDT,0.1,0.1,0.00001,0.39737,1044531.6,0.04
XTZ-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.7986,11875763,0.80
YFI-USDT-SWAP,SWAP,,,USDT,1,1,1,5471,4975653,5471.00
YGG-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1529,36292356,0.15
ZENT-USDT-SWAP,SWAP,,,USDT,1,1,0.000001,0.007351,3003399,0.01
ZEREBRO-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.02688,4753713,0.03
ZETA-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.1871,471120,0.19
ZIL-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.01103,1128434,0.01
ZK-USDT-SWAP,SWAP,,,USDT,1,1,0.00001,0.06153,11582821,0.06
ZRO-USDT-SWAP,SWAP,,,USDT,1,1,0.001,1.959,3648376,1.96
ZRX-USDT-SWAP,SWAP,,,USDT,1,1,0.0001,0.2417,708224,0.24
BTC-USDC-SWAP,SWAP,,,USDC,1,1,0.1,113737.7,6555951,113737.70
ETH-USDC-SWAP,SWAP,,,USDC,1,1,0.01,4205.8,37638324,4205.80
BTC-USD-250822,FUTURES,,,BTC,1,1,0.1,113732,56969,113732.00
BTC-USD-250829,FUTURES,,,BTC,1,1,0.1,113865.6,99955,113865.60
BTC-USD-250926,FUTURES,,,BTC,1,1,0.1,114352,368230,114352.00
BTC-USD-251031,FUTURES,,,BTC,1,1,0.1,115101.8,10956,115101.80
BTC-USD-251226,FUTURES,,,BTC,1,1,0.1,116341.3,373459,116341.30
BTC-USD-260327,FUTURES,,,BTC,1,1,0.1,118345,87515,118345.00
BTC-USD-260626,FUTURES,,,BTC,1,1,0.1,120388.6,17994,120388.60
ETH-USD-250822,FUTURES,,,ETH,1,1,0.01,4203.55,884587,4203.55
ETH-USD-250829,FUTURES,,,ETH,1,1,0.01,4205.69,876749,4205.69
ETH-USD-250926,FUTURES,,,ETH,1,1,0.01,4225.45,2465890,4225.45
ETH-USD-251031,FUTURES,,,ETH,1,1,0.01,4247.61,245479,4247.61
ETH-USD-251226,FUTURES,,,ETH,1,1,0.01,4290.77,3793307,4290.77
ETH-USD-260327,FUTURES,,,ETH,1,1,0.01,4354.48,783856,4354.48
BTC-USDT-250822,FUTURES,,,USDT,0.01,0.01,0.1,113752.7,4860.47,1137.53
BTC-USDT-250829,FUTURES,,,USDT,0.01,0.01,0.1,113834.5,2183.15,1138.35
BTC-USDT-250926,FUTURES,,,USDT,0.01,0.01,0.1,114428.7,8060.15,1144.29
BTC-USDT-251031,FUTURES,,,USDT,0.01,0.01,0.1,115104.8,1652.37,1151.05
BTC-USDT-251226,FUTURES,,,USDT,0.01,0.01,0.1,116284,9878.97,1162.84
BTC-USDT-260327,FUTURES,,,USDT,0.01,0.01,0.1,118217.2,2872.63,1182.17
ETH-USDT-250822,FUTURES,,,USDT,0.01,0.01,0.01,4201.01,17900.85,42.01
ETH-USDT-250829,FUTURES,,,USDT,0.01,0.01,0.01,4205.07,12834.87,42.05
ETH-USDT-250926,FUTURES,,,USDT,0.01,0.01,0.01,4229.4,43018.89,42.29
ETH-USDT-251226,FUTURES,,,USDT,0.01,0.01,0.01,4290.47,31746.3,42.90
