instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
AVAX-EUR,SPOT,AVAX,EUR,,,,,,,1700539860000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,19.679,2.263657,19.7,0.88868,19.687,0.653491,19.831,20.117,19.138,10235.303568237,523.411922,19.243,19.563,1755694245813,1.97
AXS-EUR,SPOT,AXS,EUR,,,,,,,1710391200000,,0.001,0.00001,1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,1.949,2.56541,1.95,2.56411,1.948,2.56674,1.969,1.984,1.901,5386.50652837,2783.98575,1.905,1.937,1755694227614,1.95
BAL-EUR,SPOT,BAL,EUR,,,,,,,1715073000000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,1.0929,78.73042,1.1059,77.538136,1.0985,78.060469,1.1359,1.1359,1.074,8964.2863879643,8288.610523,1.0784,1.081,1755694245714,1.09
BAT-EUR,SPOT,BAT,EUR,,,,,,,1715073600000,,0.0001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.1283,30.203121,0.129,664.724234,0.1285,667.31071,0.1325,0.1325,0.1274,67.9801359397,532.904078,0.1283,0.1274,1755694231919,1.28
CHZ-EUR,SPOT,CHZ,EUR,,,,,,,1710390900000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.03388,1954.065,0.03392,2527.99,0.03385,2533.217,0.03434,0.03446,0.03316,982.32240228,28961.563,0.03345,0.03349,1755694243809,0.34
COMP-EUR,SPOT,COMP,EUR,,,,,,,1700539860000,,0.01,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,39.68,0.434403,39.5,2.170871,39.42,2.175277,39.77,39.79,38.48,979.83009587,24.885497,38.99,38.8,1755694244706,3.97
CRO-EUR,SPOT,CRO,EUR,,,,,,,1710387000000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.12296,500,0.12344,694.664,0.12316,696.244,0.12377,0.12543,0.11655,7647.21979259,63178.274,0.11683,0.12153,1755694245020,1.23
CRV-EUR,SPOT,CRV,EUR,,,,,,,1700539860000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.7325,2.094173,0.7305,36.455642,0.7296,2.09585,0.7481,0.7586,0.7039,15989.0092939458,21890.214704,0.7088,0.7376,1755694245713,0.73
DOT-EUR,SPOT,DOT,EUR,,,,,,,1700539860000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,3.255,0.368019,3.258,30.374871,3.253,30.313157,3.307,3.349,3.18,10842.492438747,3323.961271,3.192,3.234,1755694243906,0.33
DYDX-EUR,SPOT,DYDX,EUR,,,,,,,1700539860000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.5539,20.460913,0.5527,155.146419,0.5519,1.003742,0.5583,0.568,0.537,461.6347259783,835.98067,0.54,0.555,1755694244713,0.55
EGLD-EUR,SPOT,EGLD,EUR,,,,,,,1710388500000,,0.01,0.00001,0.1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,12.55,0.16568,12.63,6.78934,12.59,6.81091,12.61,12.61,12.31,728.0010328,58.04911,12.47,12.31,1755694243613,1.26
FET-EUR,SPOT,FET,EUR,,,,,,,1710991800000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.5734,20.338,0.5733,149.571,0.5725,299.561,0.5831,0.5849,0.5671,2982.4045014,5173.505,0.5708,0.5748,1755694245807,0.57
FLOW-EUR,SPOT,FLOW,EUR,,,,,,,1710388800000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.321,7.8525,0.3204,267.6324,0.3193,268.5544,0.3282,0.3282,0.3169,272.37325485,857.5516,0.3169,0.3176,1755694243610,0.32
FLR-EUR,SPOT,FLR,EUR,,,,,,,1710387900000,,0.00001,0.01,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.02017,2032.92,0.02017,6767.52,0.02009,4268.26,0.02033,0.02051,0.01969,5214.2704765,259822.86,0.01982,0.02026,1755694227011,2.02
FXS-EUR,SPOT,FXS,EUR,,,,,,,1710990000000,,0.001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,2.395,20.3691,2.395,35.8035,2.388,35.9084,2.343,2.447,2.26,1716.4127071,721.925,2.323,2.281,1755694243615,2.40
GRT-EUR,SPOT,GRT,EUR,,,,,,,1710386700000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.07741,204.069,0.07745,1107.158,0.07731,1109.163,0.07878,0.07915,0.0755,1015.09484654,13118.976,0.07638,0.07683,1755694245226,0.77
HBAR-EUR,SPOT,HBAR,EUR,,,,,,,1710394200000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.19997,1828.898,0.201,106.718,0.20091,170.747,0.206,0.20808,0.19815,10709.37784328,53187.429,0.19874,0.20165,1755694244510,2.00
ICP-EUR,SPOT,ICP,EUR,,,,,,,1710393300000,,0.001,0.00001,0.1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,4.404,5.67665,4.407,19.45755,4.4,19.4885,4.489,4.528,4.312,1447.70181249,329.60849,4.33,4.4,1755694245720,0.44
IMX-EUR,SPOT,IMX,EUR,,,,,,,1710393600000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.4633,2.9975,0.4642,184.7251,0.463,185.2039,0.4733,0.4783,0.4516,554.56827885,1205.2751,0.4549,0.4649,1755694244726,0.46
