instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
WCT-USDT-SWAP,SWAP,,,USDT,10,1,WCT,,,1744716600433,,0.0001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.304,1,0.304,369,0.3039,84,0.3121,0.314,0.2942,15694690,1569469,0.2965,0.3048,1755693510814,,,,
WIF-USDT-SWAP,SWAP,,,USDT,1,1,WIF,,,1713173100603,,0.0001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.8357,2,0.8357,35,0.8356,6339,0.8639,0.8687,0.8127,97021789,97021789,0.8259,0.8339,1755693510906,,,,
WLD-USDT-SWAP,SWAP,,,USDT,1,1,WLD,,,1690199721595,,0.0001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.9265,151,0.9266,583,0.9265,9243,0.944,0.9523,0.8934,110113592,110113592,0.9001,0.919,1755693510909,,,,
WOO-USDT-SWAP,SWAP,,,USDT,10,1,WOO,,,1676357700337,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.0736,14,0.0736,208,0.07356,146,0.07596,0.07648,0.07081,30739630,3073963,0.0714,0.07413,1755693511017,,,,
XAUT-USDT-SWAP,SWAP,,,USDT,0.001,1,XAUT,,,1744192800563,,0.1,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,3340.7,525,3340.8,2616,3340.7,1741,3337.7,3342,3315,2847.714,2847714,3317.5,3324.9,1755693510106,,,,
XLM-USDT-SWAP,SWAP,,,USDT,100,1,XLM,,,1587463971000,,0.00001,0.1,0.1,,100000000,9000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,9000,0.39717,0.2,0.39713,20.8,0.39712,6.8,0.40703,0.41011,0.38953,104224470,1042244.7,0.39067,0.39781,1755693510714,,,,
XTZ-USDT-SWAP,SWAP,,,USDT,1,1,XTZ,,,1587463971000,,0.0001,1,1,,100000000,70000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,70000,0.799,65,0.7989,46,0.7988,306,0.8148,0.8157,0.7767,11879676,11879676,0.7816,0.7998,1755693511014,,,,
YFI-USDT-SWAP,SWAP,,,USDT,0.0001,1,YFI,,,1599041571000,,1,1,1,,100000000,150000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,150000,5469,31,5467,203,5466,721,5562,5580,5303,497.4366,4974366,5341,5466,1755693510716,,,,
YGG-USDT-SWAP,SWAP,,,USDT,1,1,YGG,,,1628240400000,,0.0001,1,1,,100000000,110000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,110000,0.1529,298,0.1528,16715,0.1527,20939,0.1547,0.1558,0.1467,36290333,36290333,0.1488,0.1508,1755693510709,,,,
ZENT-USDT-SWAP,SWAP,,,USDT,100,1,ZENT,,,1715243100398,,0.000001,1,1,,100000000,4000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,4000,0.007357,7,0.007359,10,0.007357,69,0.007446,0.007568,0.007261,300348600,3003486,0.007321,0.007513,1755693511018,,,,
ZEREBRO-USDT-SWAP,SWAP,,,USDT,10,1,ZEREBRO,,,1735283702001,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.02687,185,0.02687,216,0.02686,187,0.02744,0.02769,0.0261,48008480,4800848,0.02621,0.02689,1755693510318,,,,
ZETA-USDT-SWAP,SWAP,,,USDT,10,1,ZETA,,,1706757900607,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.1871,26,0.1871,3,0.187,111,0.1921,0.193,0.1825,4726320,472632,0.1839,0.1877,1755693511014,,,,
ZIL-USDT-SWAP,SWAP,,,USDT,100,1,ZIL,,,1599646371000,,0.00001,1,1,,100000000,35000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,35000,0.01103,63,0.01104,3506,0.01103,660,0.01107,0.01115,0.01065,113408200,1134082,0.01072,0.01087,1755693511006,,,,
ZK-USDT-SWAP,SWAP,,,USDT,10,1,ZK,,,1718699100579,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.06141,76,0.0614,732,0.06138,169,0.06401,0.06467,0.06045,116913910,11691391,0.06101,0.06272,1755693511020,,,,
ZRO-USDT-SWAP,SWAP,,,USDT,1,1,ZRO,,,1718886300653,,0.001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,1.955,4,1.955,309,1.954,2009,1.998,2.017,1.906,3659066,3659066,1.914,1.952,1755693510710,,,,
ZRX-USDT-SWAP,SWAP,,,USDT,10,1,ZRX,,,1598004771000,,0.0001,1,1,,100000000,21000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,21000,0.2416,2,0.2416,31,0.2415,215,0.2466,0.2483,0.2348,7405230,740523,0.2361,0.2411,1755693511015,,,,
BTC-USDC-SWAP,SWAP,,,USDC,0.0001,1,BTC,,,1666076190148,,0.1,1,1,,100000000,85000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,85000,113769.9,1,113757.4,1413,113757.3,4568,115476.4,115850,112501.3,646.5621,6465621,112841.1,113754.1,1755693511018,,,,
ETH-USDC-SWAP,SWAP,,,USDC,0.001,1,ETH,,,1666076197702,,0.01,1,1,,100000000,120000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,120000,4193.9,2,4193.81,799,4193.8,74,4303.6,4339,4060.81,37591.199,37591199,4073.82,4190.01,1755693511019,,,,
