instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
GAS-USD,SPOT,GAS,USD,,,,,,,1742364600000,,0.001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,3.238,3.146071,3.303,29.940792,3.284,91.352009,3.34,3.34,3.212,424.202724934,131.268185,3.231,3.253,1755693505214,,,,
GEAR-USD,SPOT,GEAR,USD,,,,,,,1742364900000,,0.000001,0.01,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.003463,20769.18,0.003488,86009.17,0.003451,86931.32,0.003699,0.003699,0.003463,373.53239713,107116.72,0.003463,0.003493,1755693510919,,,,
GHST-USD,SPOT,GHST,USD,,,,,,,1741848000000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.4529,452.8417,0.4576,655.594405,0.45,666.666666,0.469,0.469,0.4503,505.0920057854,1119.064218,0.4529,0.4503,1755693485413,,,,
GLMR-USD,SPOT,GLMR,USD,,,,,,,1741847100000,,0.00001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.07449,1342.462075,0.0751,3994.673768,0.07462,4020.369874,0.07479,0.07479,0.0742,100.99397708235,1355.857993,0.07449,0.0742,1755693495015,,,,
GLM-USD,SPOT,GLM,USD,,,,,,,1742365200000,,0.0001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.2595,385.356454,0.2436,1231.527093,0.2422,1238.645747,0.2595,0.2595,0.2595,0,0,0.2595,0.2595,1755693504310,,,,
GMT-USD,SPOT,GMT,USD,,,,,,,1743493200000,,0.00001,0.0001,10,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.04153,7223.6937,0.04168,8953.3605,0.04154,2164.6,0.04286,0.04286,0.0405,1274.010566774,30731.4432,0.04069,0.04168,1755693508115,,,,
GOAT-USD,SPOT,GOAT,USD,,,,,,,1738918800000,,0.00001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.08918,30.131,0.08905,11229.646,0.08858,3386.768,0.08862,0.08964,0.08807,935.84768338,10553.232,0.08868,0.08868,1755693509814,,,,
GODS-USD,SPOT,GODS,USD,,,,,,,1742365800000,,0.00001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.12591,33.092421,0.12602,33.063535,0.12581,33.118725,0.12327,0.12686,0.11989,4632.95566394357,37684.364081,0.12171,0.12193,1755693480012,,,,
GRT-USD,SPOT,GRT,USD,,,,,,,1743660900000,,0.00001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.08909,11,0.09039,3318.951211,0.08991,3336.670003,0.08982,0.09067,0.08789,216.31039940324,2397.627564,0.08909,0.089,1755693507913,,,,
HBAR-USD,SPOT,HBAR,USD,,,,,,,1743661200000,,0.00001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.23381,0.000092,0.23378,42.784967,0.2337,38.508017,0.241,0.24263,0.23067,12275.37248226626,52213.734187,0.23315,0.235,1755693510810,,,,
HMSTR-USD,SPOT,HMSTR,USD,,,,,,,1742366400000,,0.0000001,0.1,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.0006994,163558,0.0007046,425773.4,0.0007012,427837.9,0.0007256,0.0007256,0.00069,530.02070835,752842.7,0.0006994,0.0006944,1755693507410,,,,
HUMA-USD,SPOT,HUMA,USD,,,,,,,1749038400000,,0.00001,0.1,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.03362,296.6,0.03266,39803.9,0.0325,9230.7,0.03299,0.03362,0.03221,1190.5696,36392.2,0.03221,0.03279,1755693509923,,,,
ICE-USD,SPOT,ICE,USD,,,,,,,1742366700000,,0.000001,0.1,100,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.005183,14256,0.005208,57603.6,0.005175,57971,0.00535,0.005486,0.004919,13764.5503859,2624172.2,0.005149,0.0052,1755693480011,,,,
ICP-USD,SPOT,ICP,USD,,,,,,,1743661500000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,5.148,4.28,5.137,48.674331,5.133,48.702848,5.28,5.28,5.049,581.155366917,114.421269,5.049,5.124,1755693508612,,,,
