instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
ALGO-USDT-SWAP,SWAP,,,USDT,10,1,ALGO,,,1587463971000,,0.0001,1,1,,100000000,55000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,55000,0.2434,1,0.2435,2313,0.2434,1489,0.2487,0.2518,0.2364,45663680,4566368,0.2378,0.2421,1755694245807,0.24
ANIME-USDT-SWAP,SWAP,,,USDT,10,1,ANIME,,,1737644401356,,0.00001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.01644,1,0.01645,74436,0.01644,4236,0.01696,0.01709,0.01599,403128440,40312844,0.01607,0.01653,1755694245610,0.02
APE-USDT-SWAP,SWAP,,,USDT,0.1,1,APE,,,1647522059555,,0.0001,1,1,,100000000,420000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,420000,0.5983,10,0.5983,2524,0.5982,3426,0.6211,0.6238,0.5857,14221773.8,142217738,0.5871,0.6098,1755694245410,0.60
APT-USDT-SWAP,SWAP,,,USDT,1,1,APT,,,1666142328522,,0.001,1,1,,100000000,55000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,55000,4.367,2,4.367,2389,4.366,1330,4.461,4.471,4.267,6401603,6401603,4.296,4.35,1755694245926,4.37
AR-USDT-SWAP,SWAP,,,USDT,0.1,1,AR,,,1676357700186,,0.001,1,1,,100000000,90000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,90000,6.836,1,6.836,186,6.835,438,6.942,7.014,6.604,1575737.4,15757374,6.67,6.812,1755694245816,6.84
ARB-USDT-SWAP,SWAP,,,USDT,10,1,ARB,,,1679580094937,,0.0001,0.1,0.1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,0.4874,0.3,0.4874,1481.6,0.4873,2531.6,0.5007,0.5077,0.4713,191414175,19141417.5,0.4727,0.4902,1755694245807,0.05
ARC-USDT-SWAP,SWAP,,,USDT,10,1,ARC,,,1737716401522,,0.00001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.02,1036,0.02,719,0.01999,5577,0.02059,0.02075,0.01912,152554330,15255433,0.01931,0.02013,1755694245808,0.02
ARKM-USDT-SWAP,SWAP,,,USDT,1,1,ARKM,,,1732177800122,,0.0001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.508,2,0.508,89,0.5079,6263,0.5227,0.5281,0.492,9164156,9164156,0.4974,0.5085,1755694245918,0.51
ATH-USDT-SWAP,SWAP,,,USDT,100,1,ATH,,,1718250900308,,0.00001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.03276,16,0.03275,14,0.03274,3,0.03265,0.03316,0.03131,81982200,819822,0.03146,0.0319,1755694243117,0.03
ATOM-USDT-SWAP,SWAP,,,USDT,1,1,ATOM,,,1573557408000,,0.001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,4.372,1,4.372,265,4.371,845,4.402,4.439,4.262,2521513,2521513,4.286,4.335,1755694246011,4.37
AUCTION-USDT-SWAP,SWAP,,,USDT,0.1,1,AUCTION,,,1701417300613,,0.001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,9.629,6,9.63,39,9.628,20,9.873,9.935,9.415,342063.9,3420639,9.505,9.753,1755694245926,9.63
AVAX-USDT-SWAP,SWAP,,,USDT,1,1,AVAX,,,1600840800000,,0.001,0.1,0.1,,100000000,15000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,15000,22.958,0.2,22.957,49.9,22.956,71.3,23.138,23.471,22.219,3361050.1,3361050.1,22.347,22.772,1755694245808,2.30
AVAAI-USDT-SWAP,SWAP,,,USDT,10,1,AVAAI,,,1737975602080,,0.00001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.0289,270,0.0289,345,0.02889,713,0.02956,0.02994,0.02763,136920180,13692018,0.02794,0.02894,1755694245968,0.03
AXS-USDT-SWAP,SWAP,,,USDT,0.1,1,AXS,,,1627462800000,,0.001,1,1,,100000000,150000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,150000,2.272,4,2.272,10070,2.271,1938,2.297,2.317,2.203,1507282.5,15072825,2.215,2.256,1755694245913,2.27
BABY-USDT-SWAP,SWAP,,,USDT,10,1,BABY,,,1744282800387,,0.00001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.05133,1,0.05134,772,0.05133,1,0.05283,0.0534,0.05001,108463920,10846392,0.05015,0.05173,1755694245913,0.05
BAND-USDT-SWAP,SWAP,,,USDT,1,1,BAND,,,1599473571000,,0.0001,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,0.7624,1,0.7625,174,0.7622,132,0.7566,0.8197,0.6792,20456082,20456082,0.6847,0.722,1755694245807,0.76
BAT-USDT-SWAP,SWAP,,,USDT,10,1,BAT,,,1598609571000,,0.0001,1,1,,100000000,23000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,23000,0.1501,685,0.1501,2959,0.1499,4035,0.1536,0.1546,0.1461,22992380,2299238,0.1471,0.1505,1755694245968,0.15
BCH-USDT-SWAP,SWAP,,,USDT,0.1,1,BCH,,,1573557408000,,0.1,0.1,0.1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,551.8,0.3,551.8,129.4,551.7,72.9,566,567.5,545.2,87634.12,876341.2,548,554.9,1755694245968,55.18
BERA-USDT-SWAP,SWAP,,,USDT,0.1,1,BERA,,,1738850401850,,0.001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,2.148,1,2.149,9938,2.148,11695,2.27,2.272,2.112,9049108,90491080,2.135,2.177,1755694245226,2.15
BICO-USDT-SWAP,SWAP,,,USDT,1,1,BICO,,,1639032617371,,0.00001,1,1,,100000000,33000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,33000,0.10572,21,0.10569,47,0.10567,1631,0.10962,0.10973,0.10122,13287068,13287068,0.10167,0.10565,1755694244818,0.11
BIGTIME-USDT-SWAP,SWAP,,,USDT,10,1,BIGTIME,,,1697115300862,,0.00001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.05405,92,0.05404,116,0.05403,90,0.05558,0.05621,0.05263,49045100,4904510,0.05307,0.05453,1755694245807,0.05
BIO-USDT-SWAP,SWAP,,,USDT,1,1,BIO,,,1735901100474,,0.00001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.16464,1,0.1647,2027,0.16468,294,0.1387,0.16586,0.1208,1760033878,1760033878,0.12353,0.13425,1755694245914,0.16
BLUR-USDT-SWAP,SWAP,,,USDT,10,1,BLUR,,,1676429700181,,0.00001,1,1,,100000000,25000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,25000,0.07715,59,0.07714,315,0.07712,132,0.07835,0.07905,0.07474,48812020,4881202,0.07525,0.07682,1755694245926,0.08
BNB-USDT-SWAP,SWAP,,,USDT,0.01,1,BNB,,,1671778428049,,0.1,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,833.1,26,833.2,5995,833.1,726,843,847.4,817.8,179014.39,17901439,823.6,831.5,1755694245934,833.10
BNT-USDT-SWAP,SWAP,,,USDT,10,1,BNT,,,1608620400000,,0.0001,1,1,,100000000,4400,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,4400,0.767,2,0.7673,20,0.7669,14,0.7778,0.7854,0.7413,1358130,135813,0.7448,0.7606,1755694245967,0.77
BOME-USDT-SWAP,SWAP,,,USDT,1000,1,BOME,,,1723717202042,,0.000001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.001767,2,0.001767,427,0.001766,5841,0.001792,0.001814,0.001697,5088628000,5088628,0.001713,0.001758,1755694245968,0.00
BONK-USDT-SWAP,SWAP,,,USDT,100000,1,BONK,,,1704695217299,,0.000000001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.000021615,4,0.000021615,190,0.000021614,47,0.000022419,0.000022658,0.000021227,1928296000000,19282960,0.000021446,0.000021846,1755694245913,0.00
BRETT-USDT-SWAP,SWAP,,,USDT,100,1,BRETT,,,1725617701730,,0.00001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.04999,7,0.04999,17,0.04998,2,0.05167,0.05234,0.0484,43369700,433697,0.0488,0.05004,1755694244710,0.05
CAT-USDT-SWAP,SWAP,,,USDT,100000,1,CAT,,,1725618600681,,0.000000001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.000007664,1,0.000007664,68,0.000007663,78,0.00000785,0.000007945,0.000007436,622755100000,6227551,0.000007466,0.000007683,1755694245609,0.00
CATI-USDT-SWAP,SWAP,,,USDT,1,1,CATI,,,1726828200112,,0.00001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.08739,2,0.08742,1137,0.08738,1806,0.08892,0.08962,0.08428,49571070,49571070,0.08488,0.08681,1755694245918,0.09
CELO-USDT-SWAP,SWAP,,,USDT,1,1,CELO,,,1632477785202,,0.0001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.3187,38,0.3186,1186,0.3185,1875,0.3231,0.3257,0.3079,12369425,12369425,0.3094,0.3161,1755694245968,0.32
CETUS-USDT-SWAP,SWAP,,,USDT,10,1,CETUS,,,1683716471697,,0.00001,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,0.09533,86,0.09531,50,0.09527,23,0.10036,0.10145,0.09337,32320840,3232084,0.09362,0.09775,1755694245917,0.10
CFX-USDT-SWAP,SWAP,,,USDT,10,1,CFX,,,1615539600000,,0.00001,1,1,,100000000,120000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,120000,0.17476,29,0.17475,222,0.17474,2,0.17282,0.1998,0.16408,774083210,77408321,0.16482,0.1708,1755694245926,0.17
CHZ-USDT-SWAP,SWAP,,,USDT,10,1,CHZ,,,1615539600000,,0.00001,1,1,,100000000,70000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,70000,0.03949,169,0.03949,3259,0.03948,1,0.03997,0.04035,0.03847,120727330,12072733,0.03869,0.03901,1755694245807,0.04
COMP-USDT-SWAP,SWAP,,,USDT,0.1,1,COMP,,,1587463971000,,0.01,1,1,,100000000,14000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,14000,46.01,2,46.01,120,46,6,46.45,46.75,44.52,141880.5,1418805,44.65,45.53,1755694245876,46.01
COOKIE-USDT-SWAP,SWAP,,,USDT,10,1,COOKIE,,,1737718200560,,0.00001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.13274,4,0.13274,39,0.13272,1,0.13901,0.14045,0.12813,33432730,3343273,0.12908,0.13463,1755694245813,0.13
CORE-USDT-SWAP,SWAP,,,USDT,1,1,CORE,,,1675864514708,,0.0001,1,1,,100000000,40000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,40000,0.4772,1,0.4771,258,0.477,170,0.4778,0.4815,0.4578,10503372,10503372,0.4608,0.4731,1755694245808,0.48
CRO-USDT-SWAP,SWAP,,,USDT,10,1,CRO,,,1617872400000,,0.00001,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,0.14381,527,0.14377,109,0.14372,13,0.1447,0.14653,0.1354,36457340,3645734,0.13605,0.14164,1755694245816,0.14
CRV-USDT-SWAP,SWAP,,,USDT,1,1,CRV,,,1599214371000,,0.0001,1,1,,100000000,150000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,150000,0.8507,325,0.8508,2309,0.8507,940,0.8722,0.8858,0.8178,133202978,133202978,0.8205,0.8602,1755694245807,0.85
CTC-USDT-SWAP,SWAP,,,USDT,10,1,CTC,,,1702540523695,,0.0001,1,1,,100000000,3000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,3000,0.7318,1,0.7323,83,0.7318,2,0.7401,0.764,0.7254,15234490,1523449,0.7525,0.7395,1755694244113,0.73
CVC-USDT-SWAP,SWAP,,,USDT,100,1,CVC,,,1607580000000,,0.00001,1,1,,100000000,3000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,3000,0.09117,4,0.09117,5,0.09111,10,0.09222,0.0927,0.08851,9469600,94696,0.08912,0.09089,1755694244012,0.09
CVX-USDT-SWAP,SWAP,,,USDT,1,1,CVX,,,1719303900750,,0.001,1,1,,100000000,4000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,4000,3.888,12,3.888,12,3.887,14,3.997,4.055,3.737,533286,533286,3.747,3.924,1755694245616,3.89
DEGEN-USDT-SWAP,SWAP,,,USDT,100,1,DEGEN,,,1732176000192,,0.000001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.003505,1,0.003507,352,0.003505,533,0.003594,0.003646,0.003371,247026800,2470268,0.003396,0.003512,1755694245918,0.00
DGB-USDT-SWAP,SWAP,,,USDT,100,1,DGB,,,1709281500656,,0.000001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.008471,1,0.008473,9,0.008467,13,0.00854,0.008656,0.008235,33793300,337933,0.008287,0.008455,1755694228905,0.01
DOGS-USDT-SWAP,SWAP,,,USDT,1000,1,DOGS,,,1724675400737,,0.0000001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.0001282,2,0.0001283,49970,0.0001282,556,0.0001316,0.0001328,0.0001238,17097507000,17097507,0.0001248,0.0001285,1755694245918,0.00
DOG-USDT-SWAP,SWAP,,,USDT,1000,1,DOG,,,1731996004461,,0.000001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.002728,7,0.00273,32,0.002728,61,0.00289,0.002919,0.002626,853104000,853104,0.002657,0.002787,1755694245419,0.00
DOOD-USDT-SWAP,SWAP,,,USDT,1000,1,DOOD,,,1747051200521,,0.000001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.003082,3,0.003083,145,0.003081,26,0.003195,0.003232,0.002998,335192000,335192,0.003026,0.003175,1755694245316,0.00
